10.64898/2025.12.15.694390	Prior exposure to hypoxia alters DNA methylation patterns in the eastern oyster (bioRxiv preprint)	Preprint duplicate of the peer-reviewed BMC Genomics version already included (10.1186/s12864-026-12808-6)
10.1038/s41598-020-64872-x	Transcriptomes shed light on transgenerational and developmental effects of ocean warming on embryos of the sea urchin Strongylocentrotus intermedius	Molecular companion analysis of the same F0/F1 animals as Zhao et al. 2018 (10.1016/j.ecoenv.2018.01.014); not an independent conditioning experiment - its DEG counts and concordance were folded into the Zhao_2018 row
10.1111/eva.12335	Selection on oxidative phosphorylation and ribosomal structure as a multigenerational response to ocean acidification in the common copepod Pseudocalanus acuspes	Molecular companion of the same two-generation experiment as Thor & Dupont 2015 (10.1111/gcb.12815); folded into the Thor_2015 row rather than double-counted
10.1016/j.scitotenv.2024.173569	The Pacific oyster reproduction is affected by early-life exposure to environmental pesticide mixture: A multigenerational study	Reproductive-endpoint companion of the same F0/F1 18-pesticide-mixture exposure already captured (10.1016/j.envpol.2023.121472 and 10.1021/acs.est.3c08201); findings noted in the SolDourdin_2023 row
10.1080/15592294.2023.2296275	History of exposure to copper influences transgenerational gene expression responses in Daphnia magna	Freshwater crustacean (Daphnia magna) in synthetic freshwater medium - fails the marine/estuarine inclusion criterion
10.6084/m9.figshare.24915228	History of exposure to copper influences transgenerational gene expression responses in Daphnia magna (Figshare record)	Data-repository duplicate of a freshwater study; not a distinct primary study and not marine
10.1093/etojnl/vgae050	Parental exposure of the freshwater snail Planorbella pilsbryi to copper results in transgenerational effects in offspring	Freshwater gastropod - fails the marine/estuarine inclusion criterion (otherwise highly relevant: recovery time before egg-laying made offspring MORE sensitive)
10.1038/s41598-017-17554-0	The evolution of phenotypic plasticity under global change	Ophryotrocha labronica five-generation reciprocal transplant; screened in scope but the paper reports evolution of reaction norms rather than a conditioning-then-challenge persistence design, and the same species/system is already represented by three included rows
10.3410/f.721709569.793500719	Faculty Opinions recommendation of Transgenerational plasticity in the sea: context-dependent maternal effects across the life history	Recommendation/commentary record, not a primary empirical study
10.3410/f.718498317.793497513	Faculty Opinions recommendation of Adaptive maternal and paternal effects: gamete plasticity in response to parental stress	Recommendation/commentary record, not a primary empirical study
10.6084/m9.figshare.c.3300173.v1	TRANSGENERATIONAL PLASTICITY IN THE SEA: CONTEXT-DEPENDENT MATERNAL EFFECTS ACROSS THE LIFE HISTORY (Figshare record)	Data-repository duplicate of Marshall 2008 (10.1890/07-0449.1), which is already included
10.1186/s12915-020-00811-6	Paternal hypoxia exposure primes offspring for increased hypoxia resistance (zebrafish)	Vertebrate (zebrafish, freshwater) - fails the marine invertebrate inclusion criterion; DOI not independently verified in Scite
