McDonough_2026	10.1186/s12864-026-12808-6	41942905	2026	Crassostrea virginica	Bivalve	diel-cycling hypoxia	Hypoxia	Juvenile	0.5 mg/L dissolved oxygen (8% saturation) at trough vs 100% saturation normoxic control	Phase 1: 18 d containing 13 d of diel cycling (3 h drawdown, 4 h plateau at 0.5 mg/L, 3 h ramp up, 14 h control), 5 d/week; Phase 2: 18 d containing 14 d cycling	F0	Within-generation only	second 18 d diel-cycling hypoxia exposure applied 60 d after the first (fully crossed CC/CH/HC/HH design)	60	No	Not tested	gene-body DNA methylation; differentially methylated gene counts (companion paper measured tissue and shell growth)	Not assessable	196 DMGs between CH and HC; only 12 DMGs CC vs HC; 1 DMG (MDE1) CC vs HH; 0 DMGs HH vs CH; first exposure PERMANOVA R2=0.068 p=0.017 and second R2=0.076 p=0.004 across all genes; DMG-only ordination explained ~60% of variation; 0.25-1.00% of CpGs methylated	Methylation (methylRAD)	Discordant (methylome differences driven mainly by the FIRST exposure whereas the companion phenotype paper found growth driven mainly by the SECOND exposure)	Restoration	12 tanks (6 per treatment) in Phase 1 with 150 oysters per container; 48 oysters per tank in Phase 2; n=5 individuals per treatment combination for methylRAD	Full text	None found	Molecular carryover effect explicitly decoupled from gross phenotype. Recent exposure overrode earlier exposure (HH vs CH = 0 DMGs). Whole-body tissue may mask tissue-specific signal; methylRAD gives low coverage; no paired gene expression. Uses the ambient-temperature subset of the Donelan et al. 2021 animals.
Donelan_2021	10.1002/eap.2315	33636022	2021	Crassostrea virginica	Bivalve	diel-cycling hypoxia plus warming (factorial)	Multiple	Juvenile	0.5 mg/L dissolved oxygen trough vs 100% saturation control; elevated vs ambient temperature (temperature set points not stated in abstract)	18 d per phase containing 13-14 d of diel cycling (from companion paper)	F0	Within-generation only	re-exposure to the same diel-cycling hypoxia and warming treatments 8 weeks later	56	Yes	Persisted	tissue:shell growth ratio; tissue growth; shell growth	Mixed	strong interactive effect of early-life hypoxia x warming on tissue:shell growth that manifested ONLY on re-exposure two months later; numeric effect sizes not given in abstract	None	Not evaluated	Both	multi-phase laboratory experiment; 150 oysters per perforated container, 12 tanks (6 per DO treatment)	Abstract + citations	None found	Carryover effects were context-dependent: invisible in benign conditions and only expressed when the stressor returned. Energy reallocation between tissue and shell is the flagged fitness concern.
Donelan_2023	10.1111/gcb.16571	36541067	2023	Crassostrea virginica	Bivalve	diel-cycling hypoxia plus warming (factorial)	Multiple	Juvenile	two temperature x two diel-cycling dissolved oxygen treatments (set points not stated in abstract)	exposure at 3 months old and again 1 year later (exposure lengths not stated in abstract)	F0	Within-generation only	re-exposure to the same hypoxia and warming treatments 1 year later	~365	Yes	Persisted	growth; nitrogen bioassimilation; relative investment in tissue vs shell; modelled reef-scale nitrogen storage	Mixed	carryover effects of single stressors generally REDUCED nitrogen bioassimilation and tissue-vs-shell investment, particularly in warm environments, with modelled reef nitrogen storage reduced by as much as 41%; in some scenarios carryover effects increased reef nitrogen storage	None	Not evaluated	Both	not reported	Abstract + citations	None found	MALADAPTIVE/mismatch case: early exposure to a SINGLE stressor reduced performance, whereas early exposure to MULTIPLE stressors allowed oysters to perform as well as controls. First demonstration that within-generation carryover scales to an ecosystem service, 1 year after a brief exposure.
SolDourdin_2023	10.1016/j.envpol.2023.121472	36965683	2023	Crassostrea gigas (Magallana gigas)	Bivalve	18-compound pesticide and metal mixture	Pollutant	Embryo	nominal sum concentration 2.85 ug/L (measured sum 3.74 +/- 0.013 ug/L) vs clean filtered seawater	48 h (0-48 h post fertilisation)	F0	Within-generation only	none (baseline only); later-life traits and field deployment of 1-year-old spat	~365	Yes	Persisted	embryo-larval abnormality at 24 hpf; larval swimming behaviour; length and weight; epinephrine-induced metamorphosis rate; field survival	Mixed	no significant difference in 24 hpf abnormality; swimming behaviour disturbed; exposed individuals longer and heavier at specific timepoints; LOWER epinephrine-induced metamorphosis rate; HIGHER field survival rate	Transcriptome (RNA-seq); Methylation (WGBS)	Partial (significant global demethylation trend in exposed larvae alongside differential expression of Hox orthologues and cell-cycle regulators in gastrula embryos; no direct methylation-expression coupling shown)	Biomonitoring	not reported	Abstract + citations	None found	A 48 h embryonic window produced multi-scale latent effects detectable up to field deployment ~1 year later. Direction is genuinely mixed: impaired metamorphosis but improved field survival. Companion reproductive-endpoint paper (10.1016/j.scitotenv.2024.173569) reports F0 glycogen increase and higher 48 hpf reproductive success, plus F1 feminisation and accelerated gametogenesis.
SolDourdin_2024	10.1021/acs.est.3c08201	38217500	2024	Crassostrea gigas (Magallana gigas)	Bivalve	18-compound pesticide mixture	Pollutant	Embryo	nominal sum concentration 2.85 ug/L vs clean seawater	48 h (0-48 h post fertilisation) in each of two generations	F0-F1	Route not resolved	direct F1 embryo-larval re-exposure to the same mixture in a 2x2 crossed design (F0 exposed/control x F1 exposed/control)	~365	Yes	Persisted	epinephrine-induced metamorphosis rate; field survival rate; growth	Worsened	individuals descending from exposed parents had LOWER epinephrine-induced metamorphosis and LOWER field survival; the multigenerational (parental) effect had a greater influence on phenotype than direct exposure itself; negative interaction pattern for field survival (higher mortality when early exposure was combined with exposed parents)	Transcriptome (RNA-seq); Methylation (WGBS)	Partial (RNA-seq and Methyl-seq in gastrula embryos and metamorphosis-competent pediveliger larvae showed clear F0-treatment-dependent discrimination; F1:F0 treatment interaction patterns for shell-secretion and immunity genes e.g. Calm and Myd88)	Biomonitoring	not reported	Abstract + citations	None found	MALADAPTIVE: parental conditioning made offspring WORSE, and the ancestral effect exceeded the effect of the animals' own exposure. Strongest pollutant multigenerational dataset in this table.
Chamorro_2023	10.3389/fmars.2023.1212781	not reported	2023	Strongylocentrotus purpuratus	Echinoderm	marine-heatwave temperature applied during gametogenesis	Temperature	Broodstock/adult	18.3 C (marine heatwave) vs 13.1 C (non-marine-heatwave control)	4 months (October 2020 to January 2021), timed to coincide with the local gametogenesis window	F0-F1	Maternal	acute thermal tolerance trial on hatched blastula embryos across 7 temperatures (17.5, 20.5, 24.7, 26.4, 28.0, 29.8, 31.1 C); offspring also reared at 18 or 13 C	0	No	Not tested	embryo LT50; embryo and larval body size (2D area) at early gastrula and prism stages; egg size; egg protein and lipid content; adult survival and spawning success	Improved	embryos from marine-heatwave-acclimated females had significantly higher LT50 than progeny of 13 C females; larger early gastrula and prism body size; eggs had higher protein concentration (egg size and lipid unchanged); COUNTERVAILING COST: marine-heatwave-acclimated adults had LOWER spawning success	None	Not evaluated	None	3 replicate 37 L tanks per temperature condition, 10 adult urchins per tank (N=60 total)	Full text	None found	Adult-level trade-off: better offspring thermal tolerance but reduced adult spawning success. Offspring challenged immediately at spawning, so persistence window is zero; no test of how long the acquired tolerance lasts. No molecular data collected.
Kozal_2024	10.3354/meps14523	not reported	2024	Strongylocentrotus purpuratus	Echinoderm	natural in-kelp vs outside-kelp variability in temperature, pH and dissolved oxygen during gametogenesis	Multiple	Broodstock/adult	inside kelp forest (slightly elevated pH and temperature, more predictable low-frequency variability) vs outside kelp forest, Santa Barbara Channel	6 months of in situ conditioning spanning the gametogenesis period	F0-F1	Maternal	larvae reared at 1053 vs 435 uatm pCO2 at 15 C, then acute thermal stress (LT50)	0	No	Not tested	larval LT50; larval physiological response to maternal and developmental environment	Mixed	within each larval pCO2 treatment, progeny from OUTSIDE-kelp-conditioned mothers had a 0.4 C higher LT50; larvae raised at high pCO2 (1053 uatm) were more susceptible to acute thermal stress regardless of maternal origin	None	Not evaluated	None	not reported	Abstract + citations	None found	Natural conditioning contrast (field-conditioned mothers, not lab-dosed). Note the counterintuitive direction: mothers from the LESS buffered, less predictable outside-kelp environment produced the MORE thermally tolerant larvae, i.e. exposure to the more benign in-kelp refuge did not prime offspring.
Karelitz_2019	10.1007/s00338-019-01855-z	not reported	2019	Tripneustes gratilla	Echinoderm	ocean acidification and/or ocean warming	Multiple	Multiple	OA pH 7.77; OW +2 C (29 C); OAW +2 C and pH 7.77; vs ambient control	~6 months, from the early juvenile stage through gonadogenesis and germline differentiation to the mature adult	F0-F1	Both parents	embryos and larvae of acclimated parents reared in all four treatments to the 2-day pluteus stage	0	No	Not tested	larval tolerance of acidification and of 29 C; larval arm length; egg size	Mixed	larvae from OA and OAW parents were resilient to acidification and larvae from OW and OAW parents more tolerant of 29 C; BUT parental acclimation reduced larval arm lengths by as much as 21.4% and eggs were up to 21.8% smaller in females raised at 29 C	None	Not evaluated	None	not reported	Abstract + citations	None found	Textbook TGP trade-off: stress tolerance gained at the direct cost of offspring size and maternal provisioning. First transgenerational climate-change study on a marine macroinvertebrate in which the F0 was acclimated across its whole reproductive life.
Uthicke_2021	10.1111/gcb.15657	33901341	2021	Echinometra sp. A	Echinoderm	ocean warming plus acidification (mid-century and end-century scenarios)	Multiple	Broodstock/adult	two near-future scenarios (projected mid- and end-21st-century elevated temperature plus elevated pCO2) vs present-day ambient; exact set points not stated in abstract	18 months of F0 acclimatization before spawning; F1 then held 25 months in the same conditions	F0-F1	Both parents	F1 reared 25 months under the same conditions; a natural selective pathogenic mortality event occurred at 10 months of F1 age	~270	Yes	Decayed	test size; righting response time; respiration rate; survival through the pathogen event; capacity to spawn	Worsened	Ambient-Ambient group was 21% larger and 31% faster in righting than all other groups; respiration depressed by 59% and righting slowed by 28% when parents came from near-future conditions; after the pathogen event size and respiration differences disappeared but a 29% righting deficit remained; spawning capacity 50% (ambient parents) vs 21% (other groups)	None	Not evaluated	None	not reported	Abstract + citations	None found	MALADAPTIVE: significant NEGATIVE parental carryover effects, not acclimation. Physiological differences were erased by a selective mortality sweep while behavioural deficits persisted, i.e. decay was trait-specific. Assessments at 9, 10 and ~25 months.
Uthicke_2024	10.1007/s00227-024-04578-0	not reported	2024	Echinometra sp. A	Echinoderm	ocean warming plus acidification	Multiple	Multiple	+2 C above ambient temperature and 940 ppm pCO2 vs present-day ambient	more than 6 years total; F0 wild adults plus F1 and F2 larvae and adults continuously exposed	F0-F1-F2 (F3 larvae assessed)	Both parents	F2 survivorship and size tracked to 720 d post-settlement; F3 larvae reared under climate-change or control conditions	~720	Yes	Strengthened	F2 survivorship (>50% in all treatments) and test size; adult spawning performance; F3 larval arm and body length; F3 settlement success	Worsened	no size difference among treatment groups up to 720 d post-settlement; significant NEGATIVE relationship between number of generations exposed to future ocean conditions and spawning performance; larvae could only be raised from control or 0.5-generation-exposed adults; larvae from both parental groups only reached settlement when raised under control conditions; reduced arm length under climate-change conditions plus smaller arm and body lengths from climate-change parents	None	Not evaluated	None	not reported	Abstract + citations	None found	MALADAPTIVE and CUMULATIVE: negative parental effects did not diminish across generations and for some traits INCREASED. Authors state explicitly that no evidence of transgenerational acclimation was detected. The most direct multi-generation refutation of assisted-conditioning optimism in an echinoderm. | PERSISTENCE SEMANTICS: this value is an exposure / tracking window under continuous or repeated conditioning, NOT days elapsed after conditioning ended. Do not rank it against clean-recovery-gap rows such as Drury_2022 or Lafont_2017.
