10.7717/peerj.18273	Coral recruits demonstrate thermal resilience.	Coral (Scleractinia), not a bivalve - outside this scope assignment
10.1126/sciadv.aaw9530	How colonial animals evolve.	Not a bivalve and not a primary conditioning experiment (evolutionary synthesis on colonial animals)
10.1002/ece3.70570	Fertile Hybrids Could Aid Coral Adaptation.	Coral, not a bivalve; hybridisation rather than a priming exposure
10.1098/rstb.2023.0065	Cross-talk and mutual shaping between the immune system and the microbiota during an oyster's life.	Review article, not a primary empirical study (fails inclusion criterion 4)
10.1016/bs.mcb.2018.11.010	The painted sea urchin, Lytechinus pictus, as a genetically-enabled developmental model.	Echinoderm methods/resource paper, not a bivalve and not a conditioning experiment
10.1038/s41380-023-02331-5	Maternal educational attainment in pregnancy and epigenome-wide DNA methylation changes in the offspring from birth until adolescence.	Human study - not a marine invertebrate
10.1016/j.scitotenv.2024.172616	Transgenerational acclimation to acidified seawater and gene expression patterns in a sea urchin.	Echinoderm (sea urchin), not a bivalve - outside this scope assignment
10.7717/peerj.15519	Coral affected by stony coral tissue loss disease can produce viable offspring.	Coral, not a bivalve; disease rather than temperature/pH conditioning
10.1038/s41598-020-70605-x	Environmentally-induced parental or developmental conditioning influences coral offspring ecological performance.	Coral, not a bivalve - outside this scope assignment
10.1016/j.marpolbul.2023.115060	Response of resistant larvae of the coral Acropora tenuis to future thermal stress.	Coral, not a bivalve
10.1016/j.marpolbul.2024.116454	Noise pollution causes parental stress on marine invertebrates, the Giant scallop example.	Bivalve but the conditioning stressor is anthropogenic noise, not temperature or pH - outside this scope assignment
10.1093/molbev/msae008	Mixed Patterns of Intergenerational DNA Methylation Inheritance in Acropora.	Coral, not a bivalve
10.1126/sciadv.abn0707	Inheritance of somatic mutations by animal offspring.	Coral; germline mutation inheritance, not a sublethal priming exposure
10.1098/rspb.2022.1766	Mutations in coral soma and sperm imply lifelong stem cell renewal and cell lineage selection.	Coral; mutation/stem-cell study, no priming exposure
10.1111/gcb.17048	Within- and transgenerational stress legacy effects of ocean acidification on red abalone (Haliotis rufescens) growth and survival.	Gastropod (abalone), not a bivalve - qualifies for the atlas but outside this scope assignment
10.1242/bio.059746	Parental exposure to ocean acidification impacts gamete production and physiology but not offspring performance in Nematostella vectensis.	Cnidarian (sea anemone), not a bivalve
10.1093/molbev/msaa241	Host-Endosymbiont Genome Integration in a Deep-Sea Chemosymbiotic Clam.	Bivalve but a comparative genomics study - no priming exposure and no later-life or offspring outcome
10.1098/rspb.2023.2207	Timing-specific parental effects of ocean warming in a coral reef fish.	Fish - explicitly excluded by inclusion criterion 1
10.1111/mec.16826	Rapid shifts in thermal reaction norms and tolerance of brooded coral larvae following parental heat acclimation.	Coral, not a bivalve
10.1016/j.aquatox.2022.106208	Transgenerational effects and phenotypic plasticity in sperm and larvae of the sea urchin Paracentrotus lividus under ocean acidification.	Echinoderm, not a bivalve
10.1016/j.envpol.2021.117603	Parental exposures increase the vulnerability of copepod offspring to copper and a simulated marine heatwave.	Crustacean (copepod), not a bivalve - outside this scope assignment
10.1002/ece3.9044	Parents exposed to warming produce offspring lower in weight and condition.	Coral reef fish - excluded by inclusion criterion 1
10.1016/j.scitotenv.2024.172090	Genomic, morphological, and physiological insights into coral acclimation along the depth gradient following an in situ reciprocal transplantation of planulae.	Coral, not a bivalve
10.1111/gcb.16339	Live-fast-die-young: Carryover effects of heatwave-exposed adult urchins on the development of the next generation.	Echinoderm (sea urchin), not a bivalve
10.1242/jeb.246432	Differential reaction norms to ocean acidification in two oyster species from contrasting habitats.	Bivalve and pH, but no priming phase: 6-month-old oysters were exposed continuously to a pH gradient for 48 d with no post-exposure or offspring assessment; the habitat contrast is between two species, not a within-species provenance contrast in common garden
10.1093/conphys/coaf077	Living with the past: larval eastern oyster culture salinity affects post-metamorphic physiological performance.	Genuine bivalve within-generation carryover design but the conditioning stressor is salinity, not temperature or pH - outside this scope assignment
10.1111/gcb.14818	Selectively bred oysters can alter their biomineralization pathways, promoting resilience to environmental acidification.	Contrast is between selectively bred and wild lines (genetic selection), not a deliberate sublethal priming exposure followed by a later assessment
10.1038/s41598-022-26661-6	Water quality and the CO2-carbonate system during the preconditioning of Pacific oyster (Crassostrea gigas) in a recirculating aquaculture system.	Water-chemistry/methods characterisation of a preconditioning system; no later-life or offspring biological outcome measured
10.1111/1365-2656.13645	Differential DNA methylation across environments has no effect on gene expression in the eastern oyster.	Bivalve common-garden design but the environmental contrast is salinity between two Gulf of Mexico sites, not temperature or pH; also no priming-then-release structure - animals were sampled in the environment they were grown in
10.1016/j.marenvres.2020.105214	DNA methylation changes in response to ocean acidification at the time of larval metamorphosis in the edible oyster, Crassostrea hongkongensis.	Continuous larval OA exposure with methylation assayed during that exposure at metamorphosis; no post-conditioning or offspring assessment (the carryover experiment on these animals is reported separately as Dang et al. 2022, 10.1111/mec.16751, which IS included). Note also that this paper carries two Crossref DOIs with identical title and authors (10.1016/j.marenvres.2020.105214, 71 citations, and 10.1016/j.marenvres.2020.105217, 19 citations) - a duplicate publisher record that will double-count in any citation-based screen
10.1016/j.marenvres.2020.105217	DNA methylation changes in response to ocean acidification at the time of larval metamorphosis in the edible oyster, Crassostrea hongkongensis.	Duplicate Crossref record of 10.1016/j.marenvres.2020.105214 (identical title and authors, same journal volume); excluded as a duplicate and, on its own merits, for the same reason as that record
10.3390/antiox14121468	Molecular Insights into the Genesis of Heat Hardening in Marine Bivalves.	Mytilus galloprovincialis heat hardening, but the accessible text reports only molecular characterisation during the 4-day sublethal heat treatment itself, with no post-hardening challenge or later-life assessment; the same group's 2021 Sci Rep study with an explicit post-hardening challenge is included instead
10.1098/rspb.2020.2538	Indirect parental effects on offspring viability by egg-derived fluids in an external fertilizer.	Parental effect mediated by egg-derived fluids, not a sublethal temperature or pH priming exposure
10.1098/rsbl.2023.0368	Paternal environment effects are driven by female reproductive fluid but not sperm age in an external fertilizer.	Not a temperature or pH conditioning exposure; mechanism study on reproductive fluids
10.1016/j.fsi.2020.04.047	Fitness costs associated with maternal immune priming in the oyster.	Bivalve carryover design but the priming stressor is immune/pathogen, not temperature or pH - outside this scope assignment
10.1016/j.dci.2023.105122	Low-dose of formalin-inactivated Vibrio alginolyticus protects Crassostrea gigas from secondary infection and confers broad-spectrum Vibrio resistance on offspring.	Bivalve transgenerational priming but the stressor is a pathogen/immune challenge, not temperature or pH
10.1016/j.jhazmat.2024.134876	Intergenerational toxicity of 17alpha-ethinylestradiol (EE2): Effects of parental exposure on early larval development and transcriptomic profiles in the Sydney rock oyster.	Bivalve intergenerational design but the stressor is a pollutant (synthetic estrogen), not temperature or pH
10.1016/j.envpol.2020.114994	Parental exposure to the synthetic estrogen 17alpha-ethinylestradiol (EE2) affects offspring development in the Sydney rock oyster, Saccostrea glomerata.	Bivalve parental-exposure design but the stressor is a pollutant, not temperature or pH
10.1016/j.envpol.2024.124058	Multi- and transgenerational effects of environmental chemicals on mollusks: An underexplored experimental design in aquatic (eco)toxicological studies.	Review, not a primary empirical study; also pollutant rather than temperature/pH
10.1016/j.marpolbul.2020.111389	Heatwaves alter survival of the Sydney rock oyster, Saccostrea glomerata.	Bivalve and temperature, but a single-phase heatwave exposure with survival scored during the exposure; no priming phase followed by a later-life or offspring assessment
