10.3390/v10030133	Antiviral Defense and Innate Immune Memory in the Oyster	Review article, not a primary empirical study
10.1016/j.fsi.2021.10.008	A myxovirus resistance like protein involved in CgIFNLP mediated immune response of oyster Crassostrea gigas	Gene characterisation; poly(I:C) used as an acute stimulus with no later challenge, persistence window or organismal outcome
10.1016/j.fsi.2024.109905	Members of the TRAF gene family in Octopus sinensis and their response to PGN, poly I:C, and Vibrio parahaemolyticus	Gene family characterisation with acute PAMP stimulus only; no priming-then-challenge design
10.1016/j.fsi.2024.109897	A scallop IkB protein involved in innate immunity acts as a key regulator of NF-kB	Gene characterisation and reporter assays; no priming-then-challenge design
10.1016/j.fsi.2025.110585	Functional characterization of a molluscan executioner caspase in apoptosis and innate immunity	Gene characterisation plus HEK293T transfection assays; no priming-then-challenge design
10.1038/s41598-017-08566-x	Characterization of the Mollusc RIG-I/MAVS Pathway Reveals an Archaic Antiviral Signalling Framework in Invertebrates	Signalling pathway characterisation; no deliberate priming exposure followed by a later assessment
10.1016/j.fsi.2016.07.035	Identification and expression analysis of IkB and NF-kB genes from Cyclina sinensis	Gene characterisation with acute PAMP stimulus only; no later-life or offspring outcome
10.1016/j.fsi.2022.11.020	A protein inhibitor of activated STAT (CgPIAS) negatively regulates the expression of ISGs by inhibiting STAT activation in oyster Crassostrea gigas	Gene characterisation with acute poly(I:C) stimulus only; no later challenge
10.1016/j.fsi.2014.03.019	Identification and expression analysis of lipopolysaccharide-induced TNF-alpha factor gene in Chinese mitten crab Eriocheir sinensis	Gene characterisation only; no priming-then-challenge design; freshwater-cultured crab
10.3389/fcimb.2025.1533154	ChPDIA3 targeted by miR-126-x and miR-21-y responds to Vibrio harveyi infection in Crassostrea hongkongensis	Gene and miRNA characterisation; no deliberate priming exposure followed by a later challenge
10.1016/j.fsi.2015.11.014	Identification and characterization of nascent polypeptide-associated complex alpha from Chinese mitten crab (Eriocheir sinensis)	Gene characterisation under acute stress/PAMP exposure; no priming-then-challenge design
10.1016/j.fsi.2016.01.025	Identification and functional characterization of three TLR signaling pathway genes in Cyclina sinensis	Gene characterisation with acute PAMP stimulus only; no later challenge
10.3390/genes12091393	Differential Expression of Long Non-Coding RNA (lncRNA) in Mediterranean Mussel (Mytilus galloprovincialis) Hemocytes under Immune Stimuli	In vitro haemocyte stimulation only (cell-culture-only); no in vivo priming or later-life outcome
10.1016/j.dci.2021.104146	A tripartite motif protein (CgTRIM1) involved in CgIFNLP mediated antiviral immunity in the Pacific oyster Crassostrea gigas	Gene characterisation with acute poly(I:C) stimulus only; no later challenge
10.1016/j.fsi.2017.09.060	The TLR13-MyD88-NF-kB signalling pathway of Cyclina sinensis plays vital roles in innate immune responses	Gene/pathway characterisation with acute PAMP stimulus only; no priming-then-challenge design
10.1016/j.fsi.2009.05.005	Inhibitor of REL/NF-KappaB is regulated in Sydney rock oysters in response to specific double-stranded RNA and Vibrio alginolyticus	Immune gene expression kinetics over 24 h after MAMP injection; no later pathogen challenge or persistence assessment
10.3389/fimmu.2023.1161145	Inactivated ostreid herpesvirus-1 induces an innate immune response in the Pacific oyster Crassostrea gigas hemocytes	In vitro haemocyte assay only (cell-culture-only); authors state an in vivo infection model is still required
10.1128/mBio.00407-20	Towards a Mechanism for Poly(I.C) Antiviral Priming in Oysters	Commentary on Lafont et al. 2020, not a primary empirical study
10.1016/j.fsi.2013.10.026	Ontogeny and water temperature influences the antiviral response of the Pacific oyster, Crassostrea gigas	Poly(I:C)-induced gene expression kinetics only; no subsequent pathogen challenge or later-life outcome
10.1016/j.antiviral.2013.05.016	Nucleic acid-induced antiviral immunity in shrimp	EST/gene-discovery study; priming dose, priming-to-challenge interval and protection magnitude are not reported in the retrievable text
10.3389/fimmu.2022.1105318	Alternative splicing derived invertebrate variable lymphocyte receptor displays diversity and specificity in immune system of crab	Receptor characterisation and recombinant binding assays; no priming-then-challenge design; freshwater-cultured crab
10.1016/j.fsi.2020.01.011	Identification, functional characterization and the potential role of variable lymphocyte receptor EsVLRA from Eriocheir sinensis in response to secondary challenge after Vibrio parahaemolyticus vaccine	Receptor characterisation; gene expression only, no organismal outcome; freshwater-cultured crab
10.1111/jfd.12388	Priming the immune system of Penaeid shrimp by bacterial HSP70 (DnaK)	Priming-to-challenge interval of 1 h with gene expression/enzyme readouts only; no persistence window or protection outcome
10.1016/j.dci.2014.02.013	The promotion of cytoskeleton integration and redox in the haemocyte of shrimp Litopenaeus vannamei after the successive stimulation of recombinant VP28	Recombinant viral subunit protein rather than a PAMP, inactivated pathogen or sublethal pathogen elicitor; no survival or protection outcome
10.1016/j.dci.2021.104228	Strategy for understanding the biological defense mechanism involved in immune priming in kuruma shrimp	Review article, not a primary empirical study
10.1016/j.fsi.2021.07.015	A proteomics investigation of immune priming in Penaeus vannamei as shown by isobaric tags for relative and absolute quantification	Priming with trans-vp28 gene Synechocystis (recombinant subunit vector), not a PAMP or pathogen elicitor; no survival outcome and the authors report increased WSSV sensitivity
10.3390/v13061140	Global mRNA and miRNA Analysis Reveal Key Processes in the Initial Response to Infection with WSSV in the Pacific Whiteleg Shrimp	Single-infection time-course; no prior priming exposure
10.1038/s41598-021-92002-8	Identification of antigenic domains and peptides from VP15 of white spot syndrome virus and their antiviral effects in Marsupenaeus japonicus	Recombinant subunit protein and synthetic peptide vaccination, not a PAMP or pathogen priming exposure
10.1016/j.fsi.2020.03.061	Antigenic properties of VP15 from white spot syndrome virus in kuruma shrimp Marsupenaeus japonicus	Recombinant subunit protein pre-injection, not a PAMP or pathogen priming exposure
10.1016/j.dci.2021.104092	The DNA cytosine-5-methyltransferase 3 (DNMT3) involved in regulation of CgIL-17 expression in the immune response of oyster Crassostrea gigas	Enzyme characterisation; LPS priming applied in vitro and Vibrio challenge applied separately, with no priming-then-challenge persistence window or later-life outcome
10.1016/j.jip.2021.107585	Dietary supplementation with probiotic Rhodobacter sphaeroides SS15 extract to control acute hepatopancreatic necrosis disease (AHPND)-causing Vibrio parahaemolyticus in cultivated white shrimp	Continuous dietary feed additive and water-quality intervention rather than a discrete priming exposure; trained immunity invoked only in the discussion
10.1016/j.fsi.2020.12.011	Pandanus tectorius fruit extract promotes Hsp70 accumulation, immune-related genes expression and Vibrio parahaemolyticus tolerance in the white-leg shrimp Penaeus vannamei	Plant extract immunostimulant, not a PAMP, inactivated pathogen or sublethal pathogen priming exposure
10.3390/pathogens9080618	Immune Control of Herpesvirus Infection in Molluscs	Review article, not a primary empirical study
10.1111/mec.16644	Acclimatory gene expression of primed clams enhances robustness to elevated pCO2	Priming stressor is elevated pCO2, outside the immune-priming scope (belongs to the pH/OA scope)
10.1186/s12864-021-08262-1	Comparative analysis of the Mercenaria mercenaria genome provides insights into the diversity of transposable elements and immune molecules in bivalve mollusks	Genome assembly and comparative genomics, not a priming experiment
10.1016/j.fsi.2024.110091	Transcriptome analyses of mRNA and circular RNA reveal dietary supplementation with freeze-dried Lactiplantibacillus plantarum primes immune memory of Whiteleg shrimp (Penaeus vannamei) against pathogens	Continuous 15-day dietary probiotic supplementation rather than a defined PAMP, inactivated-pathogen or sublethal-pathogen priming exposure (protection was seen 7 and 14 d after last intake, so it is a near-miss)
10.1016/j.fsi.2024.110016	SYNLAC prime probiotics enhances growth performance, and resistance of white shrimp, Penaeus vannamei to Enterocytozoon hepatopenaei and Vibrio alginolyticus	Probiotic feed additive growth and resistance trial, not an immune priming design
10.1016/j.fsi.2024.109785	The mucosal immunity in crustaceans: Inferences from other species	Review article, not a primary empirical study
10.1098/rstb.2023.0065	Cross-talk and mutual shaping between the immune system and the microbiota during an oyster's life	Review article, not a primary empirical study
10.1186/s12917-024-04132-6	Protective efficiency and immune responses to single and booster doses of formalin-inactivated scale drop disease virus (SDDV) vaccine in Asian seabass (Lates calcarifer)	Fish (vertebrate), not a marine invertebrate
10.1016/j.fsi.2023.109293	Immersion prime and oral boost vaccination with an inactivated Vibrio harveyi vaccine confers a specific immune response and protection in Asian seabass (Lates calcarifer)	Fish (vertebrate), not a marine invertebrate
10.1016/j.fsirep.2023.100101	The effects of leaf extract on the resistance of White-leg shrimp towards pathogenic Vibrio	Plant extract immunostimulant, not a PAMP, inactivated pathogen or sublethal pathogen priming exposure
10.3390/biology15120956	Two-Step Vibrio parahaemolyticus Challenge Reveals Transcriptional Reprogramming of Trained Immunity in Shrimp Hemocytes	Two inactivated-antigen injections 7 d apart with a hemocyte transcriptome readout only; no live-pathogen challenge or organismal outcome, and the authors state the time-matched single-challenge control and dose-response are absent
10.1016/j.ijbiomac.2026.152920	Mixed lineage leukemia 1 regulates haemocyte proliferation by affecting histone H3 lysine 4 trimethylation during immune priming of Eriocheir sinensis	Mechanistic follow-up (H3K4me3 at EsAstakine and EsCyclin D promoters at 7 d); the underlying priming survival phenotype is reported in a prior paper and no independent organismal outcome is measured here
10.1093/jimmun/vkag007	DM9CP-integrin-RhoA pathway promotes the hemocyte phagocytosis in the immune priming of Crassostrea gigas	Receptor/pathway loss-of-function characterisation; no priming dose, persistence window or organismal outcome reported
10.1128/msphere.00011-22	ADAR-Editing during Ostreid Herpesvirus 1 Infection in Crassostrea gigas: Facts and Limitations	Reanalysis of 87 existing RNA-seq datasets, not a primary priming experiment
10.3389/fimmu.2026.1753252	The involvement of miRNAs in the enhanced immune response of oysters via haemocyte-mediated immune priming	miRNA profiling and mimic/inhibitor manipulation of haemocyte proliferation only; priming dose, priming-to-challenge interval and organismal outcome not reported
10.3389/fimmu.2022.885782	Metabolomic Investigation of Ultraviolet Ray-Inactivated White Spot Syndrome Virus-Induced Trained Immunity in Marsupenaeus japonicus	Companion metabolomics analysis of the same UV-WSSV training model reported by Lv et al. 2025; no independent priming dose, persistence window or protection outcome in the retrievable text
